                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     77,                0.61332,                0.38203,                0.90052,                0.89966,                0.88214,                0.92204,                0.78606,                0.69128,                 0.5369,                 0.9372,             0.00042925,             0.00042925,             0.00042925
                     78,                0.61095,                0.38077,                0.89618,                0.88284,                0.89283,                0.91707,                0.78159,                0.68457,                 0.5374,                0.94001,             0.00041275,             0.00041275,             0.00041275
                     79,                0.59644,                0.37057,                0.89756,                0.90839,                0.88662,                0.91193,                0.77139,                0.70025,                0.54855,                0.93551,             0.00039625,             0.00039625,             0.00039625
                     80,                0.59497,                0.38322,                0.89166,                0.89309,                0.88543,                0.91501,                0.77322,                0.70398,                0.55316,                 0.9444,             0.00037974,             0.00037974,             0.00037974
                     81,                0.58479,                0.37137,                0.89148,                 0.8909,                0.88565,                0.92132,                0.78101,                0.70625,                0.53502,                 0.9376,             0.00036324,             0.00036324,             0.00036324
                     82,                0.58717,                0.36105,                0.89325,                0.86591,                0.86863,                0.90313,                0.76361,                0.70311,                0.61093,                0.93858,             0.00034674,             0.00034674,             0.00034674
                     83,                0.58324,                0.36782,                0.88598,                0.88073,                0.88489,                0.92377,                0.78424,                 0.7006,                0.55212,                0.94306,             0.00033023,             0.00033023,             0.00033023
                     84,                0.58185,                0.36237,                0.88745,                0.87694,                0.87988,                0.91922,                0.76748,                0.71511,                0.58943,                0.93878,             0.00031373,             0.00031373,             0.00031373
                     85,                0.57072,                0.35693,                0.88309,                0.89557,                0.88538,                0.91586,                0.77147,                0.69822,                 0.5577,                0.93385,             0.00029723,             0.00029723,             0.00029723
                     86,                0.57738,                0.35815,                0.88711,                0.90586,                0.89572,                0.92942,                0.80081,                0.66527,                0.53854,                 0.9295,             0.00028072,             0.00028072,             0.00028072
                     87,                0.57232,                0.35028,                 0.8887,                0.89104,                0.88889,                0.92316,                0.79363,                0.67536,                0.56288,                0.92762,             0.00026422,             0.00026422,             0.00026422
                     88,                  0.576,                0.35289,                0.88931,                0.89811,                0.89234,                0.93025,                0.78374,                0.71825,                0.54345,                0.93667,             0.00024772,             0.00024772,             0.00024772
                     89,                0.57051,                 0.3472,                0.88919,                0.89671,                0.89876,                0.93207,                0.79442,                0.69209,                0.53148,                0.92277,             0.00023121,             0.00023121,             0.00023121
                     90,                0.56531,                0.34326,                  0.882,                0.89124,                0.89195,                0.92695,                0.78249,                 0.7033,                0.55839,                0.93688,             0.00021471,             0.00021471,             0.00021471
                     91,                0.50101,                0.31316,                0.82805,                0.88653,                0.90888,                0.91896,                0.78427,                0.68608,                0.52718,                0.93979,             0.00019821,             0.00019821,             0.00019821
                     92,                0.48325,                0.30713,                0.82265,                0.89213,                0.89605,                0.92175,                0.78144,                0.69124,                0.52356,                0.94361,              0.0001817,              0.0001817,              0.0001817
                     93,                0.48307,                0.29781,                0.81732,                0.87755,                0.89964,                0.92623,                0.79319,                0.67895,                0.52817,                0.92724,              0.0001652,              0.0001652,              0.0001652
                     94,                0.47143,                0.29245,                0.81344,                0.88845,                 0.8975,                0.92948,                0.79719,                0.68235,                0.53162,                0.93976,              0.0001487,              0.0001487,              0.0001487
                     95,                0.45856,                0.29051,                0.81794,                0.89959,                0.90709,                0.92962,                0.80065,                 0.6707,                0.51646,                0.93322,             0.00013219,             0.00013219,             0.00013219
                     96,                0.45379,                0.28806,                 0.8139,                0.90472,                0.90596,                0.93448,                0.80349,                0.66427,                0.51531,                0.92574,             0.00011569,             0.00011569,             0.00011569
                     97,                0.45749,                0.28722,                0.81194,                0.90273,                 0.9091,                0.93186,                0.80357,                0.67332,                0.50244,                0.92975,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     98,                0.44759,                0.30599,                0.81542,                0.88584,                 0.9041,                0.93005,                 0.8006,                0.67409,                0.51791,                0.93012,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     99,                0.44325,                0.27772,                0.81372,                0.89259,                0.90412,                0.92979,                0.80181,                0.66567,                0.51464,                0.93012,              6.618e-05,              6.618e-05,              6.618e-05
                    100,                0.44208,                0.27963,                0.81064,                 0.8986,                0.91295,                0.93039,                0.80407,                0.66299,                 0.5083,                0.93367,             4.9677e-05,             4.9677e-05,             4.9677e-05
